"velocity"
"Time Step" "vx etc.."
("TimeStep" "vx(point-04-000625)" "vx(point-04-040000)" "vx(point-14-040000)" "vy(point-04-000625)" "vy(point-04-040000)" "vy(point-14-040000)" "vz(point-04-000625)" "vz(point-04-040000)" "vz(point-14-040000)" "flow-time")
60178 0.4039775 2.254126 0.8642324 0.2036179 1.606433 0.7769717 0.1062941 0.8017855 0.02814643 7522.25
60179 0.4078419 2.206002 0.8818032 0.2014268 1.616051 0.7892177 0.10528 0.8158334 0.01556142 7522.375
60180 0.4117132 2.153719 0.9004663 0.1984834 1.626718 0.7986332 0.1041435 0.8239424 0.00121083 7522.5
60181 0.415534 2.098149 0.9198495 0.1947042 1.64021 0.8053738 0.1028333 0.8252811 -0.01585536 7522.625
60182 0.4192401 2.040407 0.9397191 0.190125 1.656528 0.8090985 0.1012498 0.8221351 -0.03403011 7522.75
60183 0.4227971 1.98141 0.959907 0.1848937 1.676138 0.8090913 0.09954657 0.816406 -0.05261961 7522.875
60184 0.426167 1.922168 0.980117 0.1791611 1.698432 0.8068725 0.09784321 0.8080875 -0.07099064 7523
60185 0.4293837 1.863293 1.000204 0.1729663 1.722526 0.802995 0.09621152 0.7971591 -0.08864391 7523.125
60186 0.4324621 1.803481 1.019771 0.1663889 1.748087 0.797139 0.09470672 0.7847458 -0.1066962 7523.25
60187 0.4354421 1.745044 1.038456 0.1594994 1.772342 0.7893536 0.09334303 0.7706892 -0.1226336 7523.375
60188 0.4384042 1.692489 1.056411 0.1521963 1.794063 0.7797346 0.09206118 0.7544222 -0.136867 7523.5
60189 0.4413253 1.644557 1.073675 0.1443583 1.812711 0.7681899 0.09085578 0.7356635 -0.1489548 7523.625
60190 0.44411 1.599692 1.090129 0.1360801 1.827855 0.7549248 0.08984126 0.7154343 -0.1585533 7523.75
60191 0.4467393 1.560265 1.106112 0.1274348 1.840215 0.7405884 0.08912649 0.6923592 -0.1660414 7523.875
60192 0.4492271 1.530752 1.120823 0.1184564 1.848051 0.7259949 0.08872103 0.6663389 -0.1712501 7524
60193 0.4515657 1.511247 1.134116 0.1092293 1.848205 0.7115613 0.08870755 0.6374623 -0.1737629 7524.125
60194 0.4537431 1.50047 1.14628 0.09982735 1.840529 0.6978467 0.08915153 0.6054246 -0.1729206 7524.25
60195 0.4557892 1.499615 1.157004 0.09025506 1.826832 0.6850507 0.09009534 0.5700851 -0.1692332 7524.375
60196 0.4575998 1.512214 1.166462 0.08046736 1.806984 0.6732426 0.09157984 0.5318103 -0.1628308 7524.5
60197 0.4590675 1.535943 1.174913 0.07046193 1.779559 0.6627344 0.09362119 0.4910301 -0.1537777 7524.625
60198 0.4601746 1.566131 1.182565 0.06014353 1.743036 0.6545223 0.09615333 0.4483637 -0.1423578 7524.75
60199 0.4609185 1.601239 1.189237 0.04946496 1.697864 0.6484574 0.09913237 0.4035947 -0.128774 7524.875
